roi_id,score,far_score,heat_score,density_score,missing_score
0,0.3062,0.875,0.0,0.0,0.0
1,0.5159,0.875,0.0485,0.6667,0.0
2,0.4129,0.875,0.0333,0.3333,0.0
3,0.3062,0.875,0.0,0.0,0.0
4,0.2188,0.625,0.0,0.0,0.0
5,0.3244,0.625,0.0283,0.3333,0.0
6,0.5321,0.625,0.0667,1.0,0.0
7,0.2188,0.625,0.0,0.0,0.0
8,0.133,0.375,0.0088,0.0,0.0
9,0.134,0.375,0.014,0.0,0.0
10,0.1312,0.375,0.0,0.0,0.0
11,0.1312,0.375,0.0,0.0,0.0
